Institute Name,Phone Number,Email Address,Location,Owner Name,No. of Courses
IT Institute,-9876541109,contact1@institute0.com,Patna,Anita Chatterjee,48
Techies Training,-9876541110,contact2@institute1.com,Hyderabad,Ankita Singh,20
Programming Hub,-9876541111,contact3@institute2.com,Varanasi,Preeti Saxena,15
Tech solutions,-9876541112,contact4@institute3.com,Patna,Anita Chatterjee,18
Software Gurukul,-9876541113,contact5@institute4.com,Patna,Manish Reddy,30
IT Hub,-9876541114,contact6@institute5.com,Lucknow,Arjun Kapoor,40
Tech Academy,-9876541115,contact7@institute6.com,Hyderabad,Mohan Joshi,37
Programming Academy,-9876541116,contact8@institute7.com,Varanasi,Deepa Rani,47
Tech World,-9876541117,contact9@institute8.com,Lucknow,Arjun Kapoor,18
Devloper's paradise,-9876541118,contact10@institute9.com,Patna,Vishal Shah,10
Techie Academy,-9876541119,contact11@institute10.com,Lucknow,Meera Kulakarni,32
Code Institute,-9876541120,contact12@institute11.com,Hyderabad,Rahul Verma,42
Tech Gurukul,-9876541121,contact13@institute12.com,Patna,Anurag Tripathi,24
Software Learning Center,-9876541122,contact14@institute13.com,Varanasi,Harish Namde,15
Programming Institute,-9876541123,contact15@institute14.com,Hyderabad,Ravi Joshi,47
Software Training Hub,-9876541124,contact16@institute15.com,Patna,Rashmi Shetty,30
Coder's Maven,-9876541125,contact17@institute16.com,Hyderabad,Sneha Patel,19
Programming Academy,-9876541126,contact18@institute17.com,Noida,Mohan Joshi,29
Techie Academy,-9876541127,contact19@institute18.com,Patna,Pooja Bhatia,31
IT Skills Center,-9876541128,contact20@institute19.com,Patna,Divya Menon,46
IT Training Hub,-9876541129,contact21@institute20.com,Patna,Abhinav Jain,34
Software Learning Center,-9876541130,contact22@institute21.com,Noida,Harish Namde,37
Tech Training Center,-9876541131,contact23@institute22.com,Lucknow,Gauri Dubey,47
Devloper's paradise,-9876541132,contact24@institute23.com,Lucknow,Pooja Bhatia,36
Coder's Training Center,-9876541133,contact25@institute24.com,Lucknow,Priya Singh,25
Code Camp,-9876541134,contact26@institute25.com,Patna,Harish Namde,25
Code Training center,-9876541135,contact27@institute26.com,Varanasi,Sneha Patel,43
Tech Zone,-9876541136,contact28@institute27.com,Noida,Sanjay Mittal,36
Code Masters,-9876541137,contact29@institute28.com,Hyderabad,Ankita Singh,29
Code Academy,-9876541138,contact30@institute29.com,Hyderabad,Vishal Shah,42
Coder's Paradise,-9876541139,contact31@institute30.com,Patna,Kiran ThakurSuresh chawla,36
Code Camp,-9876541140,contact32@institute31.com,Noida,Divya Menon,48
Coding Academy,-9876541141,contact33@institute32.com,Noida,Rakesh Yadav,35
Software School,-9876541142,contact34@institute33.com,Patna,Rajan Mehta ,36
Coding Academy,-9876541143,contact35@institute34.com,Lucknow,Anurag Tripathi,46
IT Academy,-9876541144,contact36@institute35.com,Hyderabad,Ankita Singh,44
Coding School,-9876541145,contact37@institute36.com,Hyderabad,Deepa Rani,36
Tech Academy,-9876541146,contact38@institute37.com,Patna,Vikram Kumar,38
IT experts,-9876541147,contact39@institute38.com,Patna,Anjali Mehta,50
IT Learning Center,-9876541148,contact40@institute39.com,Patna,Deepa Rani,44
Code Experts,-9876541149,contact41@institute40.com,Lucknow,Ritu Desai,43
Code Academy,-9876541150,contact42@institute41.com,Noida,Preeti Saxena,42
Coder's Institute,-9876541151,contact43@institute42.com,Lucknow,Divya Menon,46
Coding Academy,-9876541152,contact44@institute43.com,Varanasi,Sneha Patel,43
Software Academy,-9876541153,contact45@institute44.com,Hyderabad,Seema Kaur,50
IT Hub,-9876541154,contact46@institute45.com,Noida,Naveen Kumar,50
Coder's Paradise,-9876541155,contact47@institute46.com,Varanasi,Rajesh Gupta,49
IT experts,-9876541156,contact48@institute47.com,Noida,Preeti Saxena,48
Programming Hub,-9876541157,contact49@institute48.com,Hyderabad,Naveen Kumar,50
Software Academy,-9876541158,contact50@institute49.com,Patna,Snita Kapoor,50
